          0           0           0
 1.0254E-07  9.7359E-07 -6.9893E-11
  0.0051295    0.046692  -0.0011999
  0.0053926    0.048993  -0.0012594
  0.0056691    0.051402  -0.0013217
  0.0059599    0.053924   -0.001387
  0.0062656    0.056564  -0.0014554
  0.0065869    0.059327  -0.0015271
  0.0069248    0.062217  -0.0016021
  0.0072799     0.06524  -0.0016806
  0.0076533    0.068401  -0.0017627
  0.0080457    0.071705  -0.0018487
  0.0084584    0.075158  -0.0019386
  0.0088921    0.078765  -0.0020326
  0.0093481    0.082532   -0.002131
  0.0098275    0.086465  -0.0022337
   0.010332     0.09057  -0.0023411
   0.010861    0.094851  -0.0024532
   0.011418    0.099316  -0.0025703
   0.012004     0.10397  -0.0026926
   0.012619     0.10882  -0.0028201
   0.013266     0.11386  -0.0029531
   0.013947     0.11912  -0.0030918
   0.014662     0.12458  -0.0032364
   0.015414     0.13026  -0.0033869
   0.016204     0.13616  -0.0035436
   0.017035     0.14229  -0.0037067
   0.017909     0.14865  -0.0038763
   0.018827     0.15524  -0.0040526
   0.019792     0.16206  -0.0042358
   0.020807     0.16913  -0.0044258
   0.021874     0.17643   -0.004623
   0.022996     0.18398  -0.0048274
   0.024175     0.19176  -0.0050392
   0.025414     0.19979  -0.0052583
   0.026717     0.20806  -0.0054848
   0.028087     0.21655  -0.0057189
   0.029528     0.22528  -0.0059605
   0.031042     0.23423  -0.0062095
   0.032633     0.24339   -0.006466
   0.034306     0.25275  -0.0067298
   0.036065      0.2623  -0.0070008
   0.037915     0.27202  -0.0072788
   0.039859      0.2819  -0.0075636
   0.041902     0.29191   -0.007855
   0.044051     0.30202  -0.0081525
    0.04631     0.31222  -0.0084557
   0.048684     0.32246  -0.0087643
    0.05118     0.33272  -0.0090777
   0.053804     0.34295  -0.0093951
   0.056563      0.3531   -0.009716
   0.059463     0.36313    -0.01004
   0.062512     0.37299   -0.010365
   0.065717     0.38261   -0.010691
   0.069087     0.39192   -0.011016
   0.072629     0.40087   -0.011341
   0.076353     0.40936   -0.011662
   0.080268     0.41732   -0.011979
   0.084383     0.42466   -0.012291
    0.08871     0.43127   -0.012595
   0.093258     0.43707    -0.01289
    0.09804     0.44194   -0.013174
    0.10307     0.44577   -0.013446
    0.10835     0.44844   -0.013702
    0.11391     0.44983   -0.013942
    0.11975      0.4498   -0.014163
    0.12589     0.44823   -0.014362
    0.13234     0.44497   -0.014538
    0.13913     0.43989   -0.014688
    0.14626     0.43285    -0.01481
    0.15376     0.42371   -0.014901
    0.16164     0.41232   -0.014958
    0.16993     0.39857   -0.014981
    0.17864     0.38231   -0.014966
     0.1878     0.36343   -0.014912
    0.19743     0.34181   -0.014816
    0.20755     0.31736   -0.014677
    0.21819     0.28999   -0.014492
    0.22938     0.25963   -0.014261
    0.24114     0.22624   -0.013982
    0.25351     0.18979   -0.013655
     0.2665      0.1503   -0.013279
    0.28017     0.10781   -0.012853
    0.29453     0.06238   -0.012379
    0.30963    0.014126   -0.011856
    0.32551   -0.036799   -0.011286
     0.3422   -0.090202   -0.010671
    0.35974    -0.14584   -0.010012
    0.37819    -0.20343  -0.0093131
    0.39758    -0.26262  -0.0085767
    0.41796    -0.32303  -0.0078071
    0.43939    -0.38422  -0.0070087
    0.46192     -0.4457  -0.0061867
     0.4856    -0.50694  -0.0053468
     0.5105    -0.56737  -0.0044952
    0.53667    -0.62637  -0.0036385
    0.56419    -0.68332   -0.002784
    0.59312    -0.73754  -0.0019392
    0.62352    -0.78837  -0.0011116
    0.65549    -0.83516 -0.00030924
     0.6891    -0.87723   0.0004601
    0.72443    -0.91399   0.0011887
    0.76158    -0.94485   0.0018693
    0.80062    -0.96929   0.0024949
    0.84167    -0.98689   0.0030594
    0.88482    -0.99731   0.0035573
    0.93019     -1.0003   0.0039841
    0.97788    -0.99574   0.0043366
      1.028    -0.98367   0.0046128
     1.0807    -0.96421   0.0048118
     1.1361    -0.93768   0.0049344
     1.1944     -0.9045   0.0049826
     1.2556    -0.86523   0.0049599
       1.32    -0.82058   0.0048712
     1.3877    -0.77135   0.0047224
     1.4588    -0.71842   0.0045207
     1.5336    -0.66277   0.0042739
     1.6123     -0.6054   0.0039908
     1.6949    -0.54731   0.0036801
     1.7818     -0.4895   0.0033511
     1.8732    -0.43291   0.0030125
     1.9692    -0.37841   0.0026727
     2.0702    -0.32674   0.0023394
     2.1763    -0.27854   0.0020193
     2.2879    -0.23429   0.0017181
     2.4052    -0.19432   0.0014402
     2.5285    -0.15882   0.0011886
     2.6582    -0.12782  0.00096532
     2.7945    -0.10122  0.00077089
     2.9377   -0.078815  0.00060492
     3.0883   -0.060287  0.00046607
     3.2467   -0.045262  0.00035228
     3.4132   -0.033323  0.00026099
     3.5881   -0.024035  0.00018935
     3.7721   -0.016966  0.00013439
     3.9655   -0.011707 0.000093216
     4.1688  -0.0078892 0.000063116
     4.3826   -0.005185 0.000041669
     4.6073  -0.0033195  0.00002679
     4.8435  -0.0020675 0.000016751
     5.0918  -0.0012509 0.000010173
     5.3529 -0.00073418  5.9914E-06
     5.6273 -0.00041735 0.000003417
     5.9159 -0.00022941  1.8841E-06
     6.2192 -0.00012173  1.0027E-06
      6.538-0.000062244  5.1408E-07
     6.8732 -0.00003061  2.5346E-07
     7.2256-0.000014449  1.1993E-07
     7.5961 -6.5331E-06  5.4352E-08
     7.9856 -2.8233E-06  2.3539E-08
      8.395 -1.1634E-06  9.7194E-09
     8.8254-0.000000456   3.817E-09
     9.2779 -1.6958E-07  1.4221E-09
     9.7536 -5.9671E-08  5.0123E-10
     10.254 -1.9803E-08  1.6661E-10
     10.779 -6.2107E-09  5.2319E-11
     11.332 -1.5352E-09  1.2948E-11
     11.913 -3.4174E-10  2.8806E-12
